commentaires;notes
it was rlly good we enjoyed it a lot;10
Beautiful cosy place;10
RELAXED;10
Exceptional;10
Will become a regular!;10
Very clean and tidy hotel. Great value for money.;10
Exceptional;10
Great Stayy;10
Disappointing;4.0
Exceptional;10
Sanctuary near Hyde Park;10
Bad;1.0
Perfect spot…;10
Exceptional;10
Love this hotel;10
Like a wellness retreat in London!;10
Better than most;5.0
Exceptional;10
Pleasant;6.0
Bad;1.0
Wonderful;10
Exceptional;10
Johanna was very nice and sweet and offered my girlfriend a mask as she nearly got fined £200 for not having one. Best h;10
Exceptional;10
Lovely staycation in the heart of London.;10
Exceptional;10
Excellent boutique hotel;10
Exceptional;10
Pleasant;6.0
Exceptional;10
Exceptional;10
Exceptional;10
Highly recommend;10
Exceptional;10
Weekend London Break;10
Passable;5.0
A secret gem - clean, zen, eco - a boutique oasis hotel!;10
A lovely boutique hotel with friendly, helpful staff and pristine rooms;10
My home away from home.;10
Exceptional;10
Exceptional;10
Ok......but....!;6.0
Passable;5.0
Best hotel I have ever stayed in;10
Disappointing but place has potential if you manage your expectations. More of a 3 star.;4.0
Beautiful;10
My secret place;10
From the best hotel that I stayed in london;10
Exceptional;10
Stay in London feels like a home;10
Well thought out, modern, clean, fresh and a great ethos, I would recommend.;10
Exceptional;9.6
Exceptional;9.6
Exceptional;10
Exceptional;10
Okay;5.8
Nice communal areas but tiny rooms not good value for money;5.0
Pleasant;6.2
Exceptional;10
Exceptional;9.6
A very Eco friendly, cute hotel with lots of extras like yoga and a amazing cafe. Staff is The Top;10
Great, clean, comfortable.;9.6
Exceptional;10
Exceptional;10
Exceptional;10
thank you all i will come again;10
Passable;5.4
Exceptional;10
Excellent qwerky hotel;10
Okay;5.8
Absolutely delightful stay !;10
Would stay again and will recommend to all my friends and colleagues.  Cracking hotel.;10
Great Hotel & Value for money;10
Exceptional;10
Absolute gem of a hotel.;9.6
Disappointing;4.6
A breath of fresh air;10
Exceptional;10
Exceptional;10
Disappointing;4.6
Fantastic stay.;10
Excellent, will certainly stay again the next time I am in London for business;10
Exceptional;10
Great location, customer service and overall stay;10
Exceptional;10
Brilliant place to stay. We will visit it again!;10
Exceptional;9.6
Bad night sleep, good hotel.;5.0
Extremely small room, air conditioning turn off centrally at 10pm by the hotel...;5.0
Exceptional;10
Extremely clean, comfortable, and modern;9.6
Passable;5.0
Convenient, friendly, good atmosphere but very small room;5.0
Exceptional;9.6
The worst hotel ever;5.0
Exceptional;10
Passable;5.0
Felt like my second home, absolutely over my expectations!;10
Exceptional;10
Exceptional;10
Exceptional;9.6
What a find!;10
Exceptional;10
Exceptional;10
Stylish, beautiful and calm;10
Exceptional;10
Great stay;10
Very poor;2.0
lovely experience;10
Pleasant;6.2
Exceptional;9.6
For a quality stay walking distance to Paddington station, stunning value for money. A lovely hotel.;10
Exceptional;10
Great locale near Paddington, safe area, comfortable beds!;8.0
Superb;9.0
fantastic location - good value;8.0
This hotel is working extremely hard to become a top hotel and the staff are all onboard;9.0
Nice Skandi style boutique hotel;7.0
Very good;8.0
Great place if you are there for sightseeing;9.0
A comfortable chic hotel with some traffic noise audible in rooms.;8.0
Good;7.0
Superb;9.0
Good;7.0
Cosy hotel;8.0
Good Value for your money. Ideal location.;7.0
Great location, modern hotel, neat touches and reasonably priced.;9.0
Fabulous;8.8
Superb;9.0
Very good;8.3
Great and relaxing;8.0
Superb;9.0
Superb;9.2
Will definitely choose Inhabit for my next trip in London.;8.0
Perfect for the solo business traveller, especially if you aren't in London for the sights.;8.0
Cute hotel with nice vegan and healthy breakfast.;8.0
Good;7.0
Very good;8.3
Superb;9.2
Good;7.0
Superb;9.2
Super boutique hotel;9.0
We really enjoyed our stay at inhabit. We had a nice cosy room which was perfect for our short break;7.0
Superb;9.2
Fabulous;8.8
I’ll come back & I will recommend it to friends;10
amazing , clean and friendly;10
awful;2.0
Stunning absolutely stay here;10
Pleasant;6.0
Pleasant;6.0
so comfortable ,great location to Paddington station ,comfy beds and powerful show and lovely restaurant;10
amazing;10
Exceptional;10
Our stay at inhabit was very comfortable and enjoyable.;10
Complete joke and waste of money. Worst experience I have ever had;1.0
Exceptional;10
Great location, amazing design;10
Exceptional;9.6
10/10 Recommended!!;10
Exceptional;10
Passable;5.0
Exceptional;10
Peaceful and relaxing;10
Excellent place to relax;10
Very disappointing!;2.5
Dirty Room, Noisy Construction, moved the room twice and got a poor refund;4.0
Very poor;2.0
Passable;5.0
Exceptional;9.6
Nice;10
Surprisingly and refreshingly different.;10
Exceptional;10
Exceptional;10
Exceptional;10
Lovely hotel close to Paddington;10
Superb;9.0
Superb;9.0
Superb;9.0
Good;7.0
Very good;8.0
Superb;9.0
Good;7.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Good;7.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Good;7.0
Good;7.0
Very good;8.0
Superb;9.0
Good;7.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Good;7.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;7.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Good;7.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Good;7.0
Good;7.0
Good;7.0
Very good;8.0
Good;7.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;8.0
Very good;8.0
Superb;9.0
Good;7.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Good;7.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Good;7.0
Good;7.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Brilliant;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Good;7.0
Very good;8.0
Good;7.0
Good;7.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Wonderful people on staff. Really helpful.;8.0
Superb;9.0
Superb;9.0
Good;7.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Superb;9.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Good;7.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Good;7.0
Good;7.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
"All was good just as expected...;]";7.0
Good;7.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Good;7.0
Good;7.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Good;7.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Good;7.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Good;7.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Good;7.0
Beautiful Hotel;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Superb;9.0
Good;7.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Good;7.0
Good;7.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Good;7.0
Very good;8.0
Very good;8.0
Good;7.0
Very good;8.0
Good;7.0
Superb;9.0
Good;7.0
Superb;9.0
Good;7.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Good;7.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Very good;8.0
Good;7.0
Superb;9.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Good;7.0
Very good;8.0
Very good;8.0
Very good;8.0
Very good;8.0
Great stay, staff was very welcoming on arrival;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Good;7.0
Superb;9.0
Very good;8.0
Superb;9.0
Superb;9.0
Very good;8.0
Superb;9.0
Very good;8.0
Very good;8.0
Very good;8.0
Superb;9.0
Superb;9.0
Superb;9.0
Very good;8.0
Good;7.0
Very good;8.0
Superb;9.0
Superb;9.0
Very nice stay. Helpful staff. Comfy bed and very clean and modern. No complaints;8.0
Superb;9.0
Good;7.0
Very good;8.0
Very good;8.0
